year,date,count
2009,2009-05-26,1277
2009,2009-05-27,1248
2009,2009-05-28,1114
2009,2009-05-29,1575
2009,2009-05-30,1151
2009,2009-05-31,872
2009,2009-06-01,1363
2009,2009-06-02,1058
2009,2009-06-03,1162
2009,2009-06-04,1199
2009,2009-06-05,1324
2009,2009-06-06,1005
2009,2009-06-07,815
2009,2009-06-08,1185
2009,2009-06-09,1346
2009,2009-06-10,1501
2009,2009-06-11,707
2009,2009-06-12,1198
2009,2009-06-13,1125
2009,2009-06-14,837
2009,2009-06-15,1129
2009,2009-06-16,1301
2009,2009-06-17,1123
2009,2009-06-18,1042
2009,2009-06-19,1524
2009,2009-06-20,1133
2009,2009-06-21,852
2009,2009-06-22,1311
2009,2009-06-23,1255
2009,2009-06-24,1158
2009,2009-06-25,1111
2009,2009-06-26,1177
2009,2009-06-27,998
2009,2009-06-28,776
2009,2009-06-29,1108
2009,2009-06-30,1185
2009,2009-07-01,1166
2009,2009-07-02,1148
2009,2009-07-03,1327
2009,2009-07-04,1132
2009,2009-07-05,891
2009,2009-07-06,1107
2009,2009-07-07,1072
2009,2009-07-08,1304
2009,2009-07-09,1264
2009,2009-07-10,1326
2009,2009-07-11,1041
2009,2009-07-12,820
2009,2009-07-13,1114
2009,2009-07-14,1069
2009,2009-07-15,1152
2009,2009-07-16,1155
2009,2009-07-17,1280
2009,2009-07-18,1227
2009,2009-07-19,1193
2009,2009-07-20,1192
2009,2009-07-21,1014
2009,2009-07-22,1128
2009,2009-07-23,1190
2009,2009-07-24,1332
2009,2009-07-25,1247
2009,2009-07-26,804
2009,2009-07-27,1174
2009,2009-07-28,1114
2009,2009-07-29,1016
2009,2009-07-30,1072
2009,2009-07-31,1215
2009,2009-08-01,1195
2009,2009-08-02,908
2009,2009-08-03,1268
2009,2009-08-04,1007
2009,2009-08-05,1074
2009,2009-08-06,1141
2009,2009-08-07,1307
2009,2009-08-08,1144
2009,2009-08-09,1060
2009,2009-08-10,1186
2009,2009-08-11,1545
2009,2009-08-12,1164
2009,2009-08-13,1217
2009,2009-08-14,1360
2009,2009-08-15,770
2009,2009-08-16,876
2009,2009-08-17,1161
2009,2009-08-18,1138
2009,2009-08-19,1091
2009,2009-08-20,1127
2009,2009-08-21,1264
2009,2009-08-22,966
2009,2009-08-23,897
2009,2009-08-24,1099
2009,2009-08-25,1053
2009,2009-08-26,995
2009,2009-08-27,1131
2009,2009-08-28,1240
2009,2009-08-29,1228
2009,2009-08-30,835
2009,2009-08-31,1189
2009,2009-09-01,1234
2009,2009-09-02,1094
2009,2009-09-03,1150
2009,2009-09-04,1272
2009,2009-09-05,1166
2009,2009-09-06,657
2009,2009-09-07,1060
2009,2009-09-08,1092
2009,2009-09-09,1183
2009,2009-09-10,1156
2009,2009-09-11,1280
2009,2009-09-12,1002
2009,2009-09-13,838
2009,2009-09-14,1088
2009,2009-09-15,1109
2009,2009-09-16,1083
2009,2009-09-17,1175
2009,2009-09-18,1431
2009,2009-09-19,1085
2009,2009-09-20,866
2009,2009-09-21,1148
2009,2009-09-22,1071
2009,2009-09-23,1115
2009,2009-09-24,1070
2009,2009-09-25,1322
2009,2009-09-26,1061
2009,2009-09-27,834
2009,2009-09-28,1154
2009,2009-09-29,1689
2009,2009-09-30,1186
2009,2009-10-01,1586
2009,2009-10-02,1478
2009,2009-10-03,997
2009,2009-10-04,781
2009,2009-10-05,1275
2009,2009-10-06,1375
2009,2009-10-07,1459
2009,2009-10-08,1323
2009,2009-10-09,1603
2009,2009-10-10,1349
2009,2009-10-11,1135
2009,2009-10-12,1662
2009,2009-10-13,1340
2009,2009-10-14,1861
2009,2009-10-15,1462
2009,2009-10-16,1579
2009,2009-10-17,1077
2009,2009-10-18,746
2009,2009-10-19,1151
2009,2009-10-20,1252
2009,2009-10-21,1199
2009,2009-10-22,1090
2009,2009-10-23,1535
2009,2009-10-24,1147
2009,2009-10-25,813
2009,2009-10-26,1296
2009,2009-10-27,1305
2009,2009-10-28,1232
2009,2009-10-29,1275
2009,2009-10-30,1354
2009,2009-10-31,1079
2009,2009-11-01,831
2009,2009-11-02,1266
2009,2009-11-03,1137
2009,2009-11-04,1436
2009,2009-11-05,1354
2009,2009-11-06,1376
2009,2009-11-07,1020
2009,2009-11-08,704
2009,2009-11-09,1495
2009,2009-11-10,1544
2009,2009-11-11,652
2009,2009-11-12,1292
2009,2009-11-13,1189
2009,2009-11-14,1030
2009,2009-11-15,727
2009,2009-11-16,1181
2009,2009-11-17,1328
2009,2009-11-18,1182
2009,2009-11-19,1052
2009,2009-11-20,1353
2009,2009-11-21,955
2009,2009-11-22,689
2009,2009-11-23,1235
2009,2009-11-24,1328
2009,2009-11-25,1194
2009,2009-11-26,1134
2009,2009-11-27,1318
2009,2009-11-28,932
2009,2009-11-29,669
2009,2009-11-30,1161
2009,2009-12-01,1235
2009,2009-12-02,1223
2009,2009-12-03,1195
2009,2009-12-04,1351
2009,2009-12-05,949
2009,2009-12-06,859
2009,2009-12-07,1540
2009,2009-12-08,1246
2009,2009-12-09,1322
2009,2009-12-10,1146
2009,2009-12-11,1266
2009,2009-12-12,1045
2009,2009-12-13,696
2009,2009-12-14,1585
2009,2009-12-15,1225
2009,2009-12-16,1132
2009,2009-12-17,1833
2009,2009-12-18,1472
2009,2009-12-19,1064
2009,2009-12-20,866
2009,2009-12-21,1749
2009,2009-12-22,1566
2009,2009-12-23,1565
2009,2009-12-24,728
2009,2009-12-25,446
2009,2009-12-26,478
2009,2009-12-27,736
2009,2009-12-28,1441
2009,2009-12-29,1078
2009,2009-12-30,1230
